Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/14  05:00:00,9478623.992,9018458.834,0
 01/14  06:00:00,9478623.992,10929980.91,0
 01/14  07:00:00,9478623.992,13557755.44,0
 01/14  08:00:00,9494309.469,16125989.59,0
 01/14  09:00:00,10387684.03,17877471.42,0
 01/14  10:00:00,10387684.03,13600816.2,0
 01/14  11:00:00,10387684.03,8787110.202,0
 01/14  12:00:00,10387684.03,6818003.53,0
 01/14  13:00:00,10387684.03,5366637.593,0
 01/14  14:00:00,10387684.03,4536325.388,0
 01/14  15:00:00,10387684.03,4357662.528,0
 01/14  16:00:00,10387684.03,5497950.449,0
 01/14  17:00:00,10387684.03,7499637.335,0
 01/14  18:00:00,10387684.03,7918998.145,0
 01/14  19:00:00,9494309.469,8036531.875,0
 01/14  20:00:00,9494309.469,8104486.687,0
 01/14  21:00:00,9494309.469,9092131.148,0
 01/14  22:00:00,9494309.469,9837062.197,0
 01/14  23:00:00,9494309.469,10623831.14,0
 01/14  24:00:00,9494309.469,10812171.74,0
 01/15  01:00:00,9478623.992,10955045.55,0
 01/15  02:00:00,9478623.992,12266809.86,0
 01/15  03:00:00,9478623.992,13464940.68,0
 01/15  04:00:00,9478623.992,16964833.8,0
 01/15  05:00:00,9478623.992,19858741.02,0
 01/15  06:00:00,9478623.992,22795515.08,0
 01/15  07:00:00,9478623.992,27314227.27,0
 01/15  08:00:00,9494309.469,32395381.64,0
 01/15  09:00:00,9494309.469,34037851.1,0
 01/15  10:00:00,9494309.469,21438537.93,0
 01/15  11:00:00,9494309.469,12630450.08,0
 01/15  12:00:00,9494309.469,9003682.112,0
 01/15  13:00:00,9494309.469,6900160.886,0
 01/15  14:00:00,9494309.469,6072084.849,0
 01/15  15:00:00,9494309.469,6010364.033,0
 01/15  16:00:00,9494309.469,7653478.923,0
 01/15  17:00:00,9494309.469,9363460.627,0
 01/15  18:00:00,9494309.469,9663540.999,0
 01/15  19:00:00,9494309.469,10077332.27,0
 01/15  20:00:00,9494309.469,10773788.72,0
 01/15  21:00:00,9494309.469,11362237,0
 01/15  22:00:00,9494309.469,12317892.39,0
 01/15  23:00:00,9494309.469,13304759.29,0
 01/15  24:00:00,9494309.469,15849608.05,0
 01/16  01:00:00,9478623.992,25601796.92,0
 01/16  02:00:00,9478623.992,32066566.15,0
 01/16  03:00:00,9478623.992,38697718.22,0
 01/16  04:00:00,9478623.992,49195744.7,0
 01/16  05:00:00,9478623.992,59102744.63,0
 01/16  06:00:00,9478623.992,931209527.3,0
 01/16  07:00:00,14017756.35,858148339.9,2.44E-04
 01/16  08:00:00,479136334.1,979319782.9,4.33E-02
 01/16  09:00:00,402486594.1,893448869.7,5.85E-02
 01/16  10:00:00,263187495.9,816125638.6,8.86E-02
 01/16  11:00:00,248701351.8,668692891.5,8.86E-02
 01/16  12:00:00,246199784.4,541014749.5,0.109565663
 01/16  13:00:00,243938555.6,456108196,0.157407058
 01/16  14:00:00,243748930.7,394348709,0.157407058
 01/16  15:00:00,245688876.4,357055089.6,0.151238988
 01/16  16:00:00,272643280.7,326840392.5,8.79E-02
 01/16  17:00:00,487200577.7,185263298,6.04E-02
 01/16  18:00:00,473470003.4,184794020.5,3.01E-02
 01/16  19:00:00,470351466.9,188826304.9,1.50E-02
 01/16  20:00:00,163453733.1,0,0
 01/16  21:00:00,12249030.9,0,0
 01/16  22:00:00,12249030.9,293462.1875,0
 01/16  23:00:00,11560350.54,1841367.988,0
 01/16  24:00:00,10182989.83,2881605.451,0
 01/17  01:00:00,9478623.992,3702129.913,0
 01/17  02:00:00,9478623.992,4390551.793,0
 01/17  03:00:00,9478623.992,4898735.552,0
 01/17  04:00:00,9478623.992,5446169.529,0
 01/17  05:00:00,9478623.992,6656219.869,0
 01/17  06:00:00,9478623.992,810435764.7,0
 01/17  07:00:00,14017756.35,661111696.7,2.44E-04
 01/17  08:00:00,479136334.1,628211481.8,4.33E-02
 01/17  09:00:00,448803140.3,530065455.3,5.85E-02
 01/17  10:00:00,336309120.5,507106617.9,8.86E-02
 01/17  11:00:00,283878448.2,471634145.4,8.86E-02
 01/17  12:00:00,263973002.4,435306263.4,0.109565663
 01/17  13:00:00,250233233.4,397037383.8,0.157407058
 01/17  14:00:00,251905943,372594923.7,0.157407058
 01/17  15:00:00,272871297.1,358259444.7,0.151238988
 01/17  16:00:00,362337623.3,304377626.2,8.79E-02
 01/17  17:00:00,477895958,185255286.9,6.04E-02
 01/17  18:00:00,473470003.4,174668861.5,3.01E-02
 01/17  19:00:00,470351466.9,170831082.2,1.50E-02
 01/17  20:00:00,163453733.1,0,0
 01/17  21:00:00,12249030.9,0,0
 01/17  22:00:00,12249030.9,0,0
 01/17  23:00:00,11560350.54,1007395.127,0
 01/17  24:00:00,10182989.83,1469281.801,0
 01/18  01:00:00,9478623.992,2017588.619,0
 01/18  02:00:00,9478623.992,2545328.028,0
 01/18  03:00:00,9478623.992,2818921.626,0
 01/18  04:00:00,9478623.992,3143667.607,0
 01/18  05:00:00,9478623.992,4074883.411,0
 01/18  06:00:00,9478623.992,744616941.7,0
 01/18  07:00:00,14017756.35,602119350,2.44E-04
 01/18  08:00:00,479136334.1,556977001.5,4.33E-02
 01/18  09:00:00,448702526,486684079.2,5.85E-02
 01/18  10:00:00,332066368.2,481169543.3,8.86E-02
 01/18  11:00:00,282875788.9,471953311.4,8.86E-02
 01/18  12:00:00,268530438.5,447780610.5,0.109565663
 01/18  13:00:00,264622900.7,439568845.1,0.157407058
 01/18  14:00:00,268714850.9,424014577.9,0.157407058
 01/18  15:00:00,288618683.5,400906589,0.151238988
 01/18  16:00:00,357060099.5,367333508.9,8.79E-02
 01/18  17:00:00,481379560.8,228741264.2,6.04E-02
 01/18  18:00:00,473470003.4,218820302.5,3.01E-02
 01/18  19:00:00,470351466.9,217245261.3,1.50E-02
 01/18  20:00:00,163453733.1,0,0
 01/18  21:00:00,12249030.9,861084.9881,0
 01/18  22:00:00,12249030.9,3104931.422,0
 01/18  23:00:00,11560350.54,4342345.852,0
 01/18  24:00:00,10182989.83,5236779.899,0
 01/19  01:00:00,9478623.992,5806463.594,0
 01/19  02:00:00,9478623.992,6177031.805,0
 01/19  03:00:00,9478623.992,6880194.266,0
 01/19  04:00:00,9478623.992,7340774.164,0
 01/19  05:00:00,9478623.992,9766468.49,0
 01/19  06:00:00,9478623.992,855574351.9,0
 01/19  07:00:00,14017756.35,716219299.9,2.44E-04
 01/19  08:00:00,479136334.1,750276402.6,4.33E-02
 01/19  09:00:00,422728797.5,677598850,5.85E-02
 01/19  10:00:00,282127672,663385371.4,8.86E-02
 01/19  11:00:00,247222389.8,566212950.2,8.86E-02
 01/19  12:00:00,245656805.3,480193370.7,0.109565663
 01/19  13:00:00,243843041.8,426218959.6,0.157407058
 01/19  14:00:00,243013129.4,391203614.1,0.157407058
 01/19  15:00:00,244863169,375267721.3,0.151238988
 01/19  16:00:00,268054623,363992247.5,8.79E-02
 01/19  17:00:00,467711034,237705275.8,6.04E-02
 01/19  18:00:00,473470003.4,230628655.6,3.01E-02
 01/19  19:00:00,470351466.9,237029423.1,1.50E-02
 01/19  20:00:00,163453733.1,0,0
 01/19  21:00:00,12249030.9,4605985.986,0
 01/19  22:00:00,12249030.9,7550301.508,0
 01/19  23:00:00,11560350.54,9223900.467,0
 01/19  24:00:00,10182989.83,10689886.49,0
 01/20  01:00:00,9478623.992,11968915.67,0
 01/20  02:00:00,9478623.992,13410195.21,0
