Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/15  18:00:00,9778072.731,6419898.47,0
 01/15  19:00:00,9778072.731,6726357.757,0
 01/15  20:00:00,9778072.731,7091788.045,0
 01/15  21:00:00,9778072.731,7310043.632,0
 01/15  22:00:00,9778072.731,7683707.945,0
 01/15  23:00:00,9778072.731,8087061.023,0
 01/15  24:00:00,9778072.731,8944203.825,0
 01/16  01:00:00,9761104.792,10276329.45,0
 01/16  02:00:00,9761104.792,10906798.54,0
 01/16  03:00:00,9761104.792,11844547.86,0
 01/16  04:00:00,9761104.792,14700653.32,0
 01/16  05:00:00,9761104.792,19259279.5,0
 01/16  06:00:00,9761104.792,838414465,0
 01/16  07:00:00,14346905.25,746655763.7,2.44E-04
 01/16  08:00:00,491776279,836791821.8,4.80E-02
 01/16  09:00:00,422061858.1,765306762.4,6.68E-02
 01/16  10:00:00,278132535.5,742751332.4,0.103975347
 01/16  11:00:00,259341914.7,622593010.9,0.103975347
 01/16  12:00:00,257067637,516753529.8,0.134665347
 01/16  13:00:00,255088056.5,438644014.4,0.208148997
 01/16  14:00:00,255015036.9,382542129.8,0.208148997
 01/16  15:00:00,256403960,359540248.5,0.195800939
 01/16  16:00:00,289691094.8,319003352.6,0.103242122
 01/16  17:00:00,499076725.7,188915190.5,7.46E-02
 01/16  18:00:00,485817047.8,159677272.2,3.72E-02
 01/16  19:00:00,482700801.2,147249515.9,1.86E-02
 01/16  20:00:00,168554793.2,0,0
 01/16  21:00:00,12964410.58,0,0
 01/16  22:00:00,12964410.58,0,0
 01/16  23:00:00,12167826.12,708189.3774,0
 01/16  24:00:00,10574657.19,1782914.555,0
 01/17  01:00:00,9761104.792,2574097.276,0
 01/17  02:00:00,9761104.792,3245268.745,0
 01/17  03:00:00,9761104.792,3749642.249,0
 01/17  04:00:00,9761104.792,4299523.681,0
 01/17  05:00:00,9761104.792,4986941.102,0
 01/17  06:00:00,9761104.792,701936277.1,0
 01/17  07:00:00,14346905.25,558970252.2,2.44E-04
 01/17  08:00:00,491776279,510560347.4,4.80E-02
 01/17  09:00:00,464470233.3,442666102,6.68E-02
 01/17  10:00:00,355190797.8,463330071.4,0.103975347
 01/17  11:00:00,299803622.7,442199801.1,0.103975347
 01/17  12:00:00,277724226.1,419701914.8,0.134665347
 01/17  13:00:00,259366675.9,387219513.4,0.208148997
 01/17  14:00:00,261987035.8,365852339.5,0.208148997
 01/17  15:00:00,287411662,362731181,0.195800939
 01/17  16:00:00,384635618.8,298017378,0.103242122
 01/17  17:00:00,490529899.2,194785037.7,7.46E-02
 01/17  18:00:00,485817047.8,157324947.5,3.72E-02
 01/17  19:00:00,482700801.2,139042001.4,1.86E-02
 01/17  20:00:00,168554793.2,0,0
 01/17  21:00:00,12964410.58,0,0
 01/17  22:00:00,12964410.58,0,0
 01/17  23:00:00,12167826.12,0,0
 01/17  24:00:00,10574657.19,567557.6227,0
 01/18  01:00:00,9761104.792,1158596.43,0
 01/18  02:00:00,9761104.792,1707089.254,0
 01/18  03:00:00,9761104.792,1993550.853,0
 01/18  04:00:00,9761104.792,2331456.86,0
 01/18  05:00:00,9761104.792,2845696.626,0
 01/18  06:00:00,9761104.792,647636230.5,0
 01/18  07:00:00,14346905.25,515322297.1,2.44E-04
 01/18  08:00:00,491776279,457846236.5,4.80E-02
 01/18  09:00:00,464375912.1,413119595.8,6.68E-02
 01/18  10:00:00,351270999.8,447322800.3,0.103975347
 01/18  11:00:00,298838568.8,447116424.4,0.103975347
 01/18  12:00:00,283152572.5,431606087.7,0.134665347
