Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly) 
 01/14  09:00:00,10387684.0290672,17877471.4197378,0.0 
 01/14  10:00:00,10387684.0290672,13600816.2015238,0.0 
 01/14  11:00:00,10387684.0290672,8787110.20180551,0.0 
 01/14  12:00:00,10387684.0290672,6818003.53002098,0.0 
 01/14  13:00:00,10387684.0290672,5366637.59283788,0.0 
 01/14  14:00:00,10387684.0290672,4536325.38814076,0.0 
 01/14  15:00:00,10387684.0290672,4357662.5282003,0.0 
 01/14  16:00:00,10387684.0290672,5497950.4492716,0.0 
 01/14  17:00:00,10387684.0290672,7499637.3352551,0.0 
 01/14  18:00:00,10387684.0290672,7918998.14538078,0.0 
 01/14  19:00:00,9494309.4690672,8036531.87491329,0.0 
 01/14  20:00:00,9494309.4690672,8104486.68656166,0.0 
 01/14  21:00:00,9494309.4690672,9092131.14811639,0.0 
 01/14  22:00:00,9494309.4690672,9837062.19681124,0.0 
 01/14  23:00:00,9494309.4690672,10623831.1369975,0.0 
 01/14  24:00:00,9494309.4690672,10812171.7423908,0.0 
 01/15  01:00:00,9478623.9918672,10955045.5454389,0.0 
 01/15  02:00:00,9478623.9918672,12266809.8621608,0.0 
 01/15  03:00:00,9478623.9918672,13464940.6799037,0.0 
 01/15  04:00:00,9478623.9918672,16964833.7974342,0.0 
 01/15  05:00:00,9478623.9918672,19858741.0220765,0.0 
 01/15  06:00:00,9478623.9918672,22795515.0778344,0.0 
 01/15  07:00:00,9478623.9918672,27314227.2717547,0.0 
 01/15  08:00:00,9494309.4690672,32395381.6445042,0.0 
 01/15  09:00:00,9494309.4690672,34037851.1001344,0.0 
 01/15  10:00:00,9494309.4690672,21438537.9349497,0.0 
 01/15  11:00:00,9494309.4690672,12630450.0794532,0.0 
 01/15  12:00:00,9494309.4690672,9003682.11155206,0.0 
 01/15  13:00:00,9494309.4690672,6900160.88642837,0.0 
 01/15  14:00:00,9494309.4690672,6072084.84925208,0.0 
 01/15  15:00:00,9494309.4690672,6010364.03254195,0.0 
 01/15  16:00:00,9494309.4690672,7653478.92340686,0.0 
 01/15  17:00:00,9494309.4690672,9363460.62705757,0.0 
 01/15  18:00:00,9494309.4690672,9663540.99869009,0.0 
 01/15  19:00:00,9494309.4690672,10077332.2665443,0.0 
 01/15  20:00:00,9494309.4690672,10773788.7207727,0.0 
 01/15  21:00:00,9494309.4690672,11362237.0006251,0.0 
 01/15  22:00:00,9494309.4690672,12317892.3870738,0.0 
 01/15  23:00:00,9494309.4690672,13304759.2863987,0.0 
 01/15  24:00:00,9494309.4690672,15849608.0488222,0.0 
 01/16  01:00:00,9478623.9918672,25601796.9225323,0.0 
 01/16  02:00:00,9478623.9918672,32066566.1522145,0.0 
 01/16  03:00:00,9478623.9918672,38697718.2225807,0.0 
 01/16  04:00:00,9478623.9918672,49195744.6989801,0.0 
 01/16  05:00:00,9478623.9918672,59102744.6327838,0.0 
 01/16  06:00:00,9478623.9918672,931209527.285816,0.0 
 01/16  07:00:00,14017756.3489872,858148339.925443,2.444085151515151E-004 
 01/16  08:00:00,479136334.098694,979319782.946974,4.325677287878787E-002 
 01/16  09:00:00,402486594.089037,893448869.692653,5.853638650505051E-002 
 01/16  10:00:00,263187495.922851,816125638.586375,8.860679672727272E-002 
 01/16  11:00:00,248701351.780122,668692891.547383,8.860679672727272E-002 
 01/16  12:00:00,246199784.350815,541014749.509717,0.109565663393939 
 01/16  13:00:00,243938555.593986,456108195.997582,0.157407058282828 
 01/16  14:00:00,243748930.744319,394348708.982843,0.157407058282828 
 01/16  15:00:00,245688876.446936,357055089.618921,0.151238988212121 
 01/16  16:00:00,272643280.669023,326840392.456241,8.787357118181820E-002 
 01/16  17:00:00,487200577.68864,185263298.04608,6.038522895959597E-002 
 01/16  18:00:00,473470003.44288,184794020.519284,3.007041022222222E-002 
 01/16  19:00:00,470351466.855814,188826304.916829,1.503520511111111E-002 
 01/16  20:00:00,163453733.055814,0.0,0.0 
 01/16  21:00:00,12249030.8975472,0.0,0.0 
 01/16  22:00:00,12249030.8975472,293462.187491929,0.0 
 01/16  23:00:00,11560350.5404272,1841367.98761917,0.0 
 01/16  24:00:00,10182989.8261872,2881605.45118075,0.0 
 01/17  01:00:00,9478623.9918672,3702129.91270771,0.0 
 01/17  02:00:00,9478623.9918672,4390551.79345895,0.0 
 01/17  03:00:00,9478623.9918672,4898735.55217163,0.0 
 01/17  04:00:00,9478623.9918672,5446169.52864279,0.0 
 01/17  05:00:00,9478623.9918672,6656219.86853797,0.0 
 01/17  06:00:00,9478623.9918672,810435764.661891,0.0 
 01/17  07:00:00,14017756.3489872,661111696.654208,2.444085151515151E-004 
 01/17  08:00:00,479136334.098694,628211481.804538,4.325677287878786E-002 
 01/17  09:00:00,448803140.316089,530065455.262963,5.853638650505051E-002 
 01/17  10:00:00,336309120.454059,507106617.944363,8.860679672727272E-002 
 01/17  11:00:00,283878448.204658,471634145.431472,8.860679672727272E-002 
 01/17  12:00:00,263973002.429479,435306263.377868,0.109565663393939 
 01/17  13:00:00,250233233.438877,397037383.849778,0.157407058282828 
 01/17  14:00:00,251905943.042354,372594923.736095,0.157407058282828 
 01/17  15:00:00,272871297.132138,358259444.734029,0.151238988212121 
 01/17  16:00:00,362337623.347201,304377626.168685,8.787357118181820E-002 
 01/17  17:00:00,477895958.016162,185255286.863507,6.038522895959597E-002 
 01/17  18:00:00,473470003.44288,174668861.477885,3.007041022222222E-002 
 01/17  19:00:00,470351466.855814,170831082.2401,1.503520511111111E-002 
 01/17  20:00:00,163453733.055814,0.0,0.0 
 01/17  21:00:00,12249030.8975472,0.0,0.0 
 01/17  22:00:00,12249030.8975472,0.0,0.0 
 01/17  23:00:00,11560350.5404272,1007395.12743571,0.0 
 01/17  24:00:00,10182989.8261872,1469281.80062523,0.0 
 01/18  01:00:00,9478623.9918672,2017588.61921338,0.0 
 01/18  02:00:00,9478623.9918672,2545328.02813983,0.0 
 01/18  03:00:00,9478623.9918672,2818921.62649921,0.0 
 01/18  04:00:00,9478623.9918672,3143667.60670002,0.0 
 01/18  05:00:00,9478623.9918672,4074883.41123443,0.0 
 01/18  06:00:00,9478623.9918672,744616941.739746,0.0 
 01/18  07:00:00,14017756.3489872,602119349.972317,2.444085151515151E-004 
 01/18  08:00:00,479136334.098694,556977001.466881,4.325677287878787E-002 
 01/18  09:00:00,448702526.008455,486684079.170522,5.853638650505051E-002 
