Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group
ElectricEquipment,Level1:Zone4 Computing gain 1,Design Level,95.8998,85.0631226,102.612786,Uniform,Float,25
ElectricEquipment,Level1:Zone4 Equipment 2,Design Level,95.8998,85.0631226,102.612786,Uniform,Float,26
Lights,Level1:Zone5 General lighting,Lighting Level,130.906,123.313452,142.68754,Uniform,Float,27
Lights,Level1:Zone10 General lighting,Lighting Level,106.8893,100.6897206,116.509337,Uniform,Float,28
Lights,Level1:Zone7 General lighting,Lighting Level,2059.776,1940.308992,2245.15584,Uniform,Float,29
ElectricEquipment,Level1:Zone7 Equipment 1,Design Level,762.1171,675.9978677,815.465297,Uniform,Float,30
Lights,Level1:Zone9 General lighting,Lighting Level,55.48,52.26216,60.4732,Uniform,Float,31
Lights,Level1:Zone15 General lighting,Lighting Level,1605.7,1512.5694,1750.213,Uniform,Float,32
ElectricEquipment,Level1:Zone15 Computing gain 1,Design Level,481.71,427.27677,515.4297,Uniform,Float,33
ElectricEquipment,Level1:Zone15 Equipment 2,Design Level,481.71,427.27677,515.4297,Uniform,Float,34
Lights,Level1:Zone11 General lighting,Lighting Level,181.058,170.556636,197.35322,Uniform,Float,35
ElectricEquipment,Level1:Zone11 Computing gain 1,Design Level,54.3174,48.1795338,58.119618,Uniform,Float,36
ElectricEquipment,Level1:Zone11 Equipment 2,Design Level,54.3174,48.1795338,58.119618,Uniform,Float,37
Lights,Level1Z1:Zone1 General lighting,Lighting Level,895.95,843.9849,976.5855,Uniform,Float,38
ElectricEquipment,Level1Z1:Zone1 Computing gain 1,Design Level,268.785,238.412295,287.59995,Uniform,Float,39
ElectricEquipment,Level1Z1:Zone1 Equipment 2,Design Level,268.785,238.412295,287.59995,Uniform,Float,40
Lights,Level1Z1:Zone4 General lighting,Lighting Level,234.328,220.736976,255.41752,Uniform,Float,41
ElectricEquipment,Level1Z1:Zone4 Computing gain 1,Design Level,70.2984,62.3546808,75.219288,Uniform,Float,42
ElectricEquipment,Level1Z1:Zone4 Equipment 2,Design Level,70.2984,62.3546808,75.219288,Uniform,Float,43
Lights,Level1Z1:Zone51 General lighting,Lighting Level,471.5745,444.223179,514.016205,Uniform,Float,44
ElectricEquipment,Level1Z1:Zone51 Equipment 1,Design Level,925.5436,820.9571732,990.331652,Uniform,Float,45
Lights,Level1Z1:Zone39 General lighting,Lighting Level,1098.504,1034.790768,1197.36936,Uniform,Float,46
ElectricEquipment,Level1Z1:Zone39 Computing gain 1,Design Level,329.5512,292.3119144,352.619784,Uniform,Float,47
ElectricEquipment,Level1Z1:Zone39 Equipment 2,Design Level,329.5512,292.3119144,352.619784,Uniform,Float,48
Lights,Level1Z1:Zone9 General lighting,Lighting Level,442.228,416.578776,482.02852,Uniform,Float,49
ElectricEquipment,Level1Z1:Zone9 Computing gain 1,Design Level,132.6684,117.6768708,141.955188,Uniform,Float,50
ElectricEquipment,Level1Z1:Zone9 Equipment 2,Design Level,132.6684,117.6768708,141.955188,Uniform,Float,51
Lights,Level1Z1:Zone12 General lighting,Lighting Level,243.5875,229.459425,265.510375,Uniform,Float,52
