# ID,Name,Parameter Type,Description,Search String,Value Type,Value String,Selected Value Index
P107,Standard insulation_0.0096 Solar Absorptance,PARAMETRICS,Material - Standard insulation_0.0096 Solar Absorptance,@@tag107@@,DOUBLE,"{0.7, 0.602, 0.7979999999999999}",0
P108,Standard insulation_0.0096 Visible Absorptance,PARAMETRICS,Material - Standard insulation_0.0096 Visible Absorptance,@@tag108@@,DOUBLE,"{0.7, 0.602, 0.7979999999999999}",0
P109,Painted Oak_0.042 Conductivity,PARAMETRICS,Material - Painted Oak_0.042 Conductivity,@@tag109@@,DOUBLE,"{0.19, 0.1805, 0.1995}",0
P110,Painted Oak_0.042 Density,PARAMETRICS,Material - Painted Oak_0.042 Density,@@tag110@@,DOUBLE,"{700.0, 693.0, 707.0}",0
P111,Painted Oak_0.042 Specific Heat,PARAMETRICS,Material - Painted Oak_0.042 Specific Heat,@@tag111@@,DOUBLE,"{2390.0, 2091.25, 2688.75}",0
P112,Painted Oak_0.042 Thermal Absorptance,PARAMETRICS,Material - Painted Oak_0.042 Thermal Absorptance,@@tag112@@,DOUBLE,"{0.9, 0.8608, 0.9392}",0
P113,Painted Oak_0.042 Solar Absorptance,PARAMETRICS,Material - Painted Oak_0.042 Solar Absorptance,@@tag113@@,DOUBLE,"{0.5, 0.402, 0.598}",0
P114,Painted Oak_0.042 Visible Absorptance,PARAMETRICS,Material - Painted Oak_0.042 Visible Absorptance,@@tag114@@,DOUBLE,"{0.5, 0.402, 0.598}",0
P115,External Rendering_0.025 Conductivity,PARAMETRICS,Material - External Rendering_0.025 Conductivity,@@tag115@@,DOUBLE,"{0.5, 0.2636990558630795, 0.7363009441369205}",0
P116,External Rendering_0.025 Density,PARAMETRICS,Material - External Rendering_0.025 Density,@@tag116@@,DOUBLE,"{1300.0, 1029.7437882305017, 1570.2562117694983}",0
P117,External Rendering_0.025 Specific Heat,PARAMETRICS,Material - External Rendering_0.025 Specific Heat,@@tag117@@,DOUBLE,"{1000.0, 913.379419304648, 1086.620580695352}",0
P118,External Rendering_0.025 Thermal Absorptance,PARAMETRICS,Material - External Rendering_0.025 Thermal Absorptance,@@tag118@@,DOUBLE,"{0.9, 0.8608, 0.9392}",0
P119,External Rendering_0.025 Solar Absorptance,PARAMETRICS,Material - External Rendering_0.025 Solar Absorptance,@@tag119@@,DOUBLE,"{0.7, 0.602, 0.7979999999999999}",0
