,Class,Object,Field,Default,Minimum,Maximum,Type,Group
2545,People,People Level0:Zone46,Number of People,0.733251198,0.15838225876800005,1.3081201372320002,Float,G520
2546,People,People Level0:Zone46,Fraction Radiant,0.3,0.285,0.315,Float,G521
2547,People,People Level0:Zone46,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2548,Lights,Level0:Zone46 General lighting,Lighting Level,31.2465,29.434203,34.058685000000004,Float,G522
2549,Lights,Level0:Zone46 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2550,Lights,Level0:Zone46 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2551,Lights,Level0:Zone46 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2552,ElectricEquipment,Level0:Zone46 Equipment 1,Design Level,11.5612,10.2547844,12.370484,Float,G413
2553,ElectricEquipment,Level0:Zone46 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G414
2566,ZoneInfiltration:DesignFlowRate,Level0:Zone46 Infiltration,Design Flow Rate,0.001357,0.0013553288509802427,0.0013586711490197571,Float,G228
2572,People,People Level0:Zone27,Number of People,1.0175925,0.2197999799999999,1.81538502,Float,G500
2573,People,People Level0:Zone27,Fraction Radiant,0.3,0.285,0.315,Float,G501
2574,People,People Level0:Zone27,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2575,Lights,Level0:Zone27 General lighting,Lighting Level,183.35,172.7157,199.8515,Float,G502
2576,Lights,Level0:Zone27 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2577,Lights,Level0:Zone27 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2578,Lights,Level0:Zone27 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2579,ElectricEquipment,Level0:Zone27 Equipment 1,Design Level,107.9015,95.7086305,115.454605,Float,G503
2580,ElectricEquipment,Level0:Zone27 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G504
2581,WaterUse:Equipment,DHW Level0:Zone27,Peak Flow Rate,5.66e-08,3.86012e-08,8.2919e-08,Float,G505
2594,ZoneInfiltration:DesignFlowRate,Level0:Zone27 Infiltration,Design Flow Rate,0.001991,0.0019893288509802427,0.0019926711490197576,Float,G228
