Class,Object,Field,Default,Minimum,Maximum,Type,Group
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 20,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 21,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 22,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 23,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 24,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 1,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 2,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 3,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 4,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 5,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 6,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 7,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 8,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 9,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 10,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 11,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 12,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 13,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 14,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 15,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 16,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 17,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 18,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 19,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 20,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 21,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 22,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 23,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Winter Control Type Day Sch,Hour 24,4,3.6,4.4,Float,G077
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 1,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 2,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 3,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 4,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 5,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 6,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 7,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 8,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 9,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 10,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 11,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 12,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 13,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 14,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 15,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 16,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 17,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 18,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 19,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 20,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 21,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 22,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 23,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Summer Control Type Day Sch - cool,Hour 24,2,1.8,2.2,Float,G078
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 1,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 2,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 3,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 4,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 5,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 6,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 7,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 8,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 9,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 10,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 11,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 12,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 13,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 14,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 15,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 16,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 17,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 18,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 19,1,0.9,1.1,Float,G079
Schedule:Day:Hourly,Winter Control Type Day Sch - heat,Hour 20,1,0.9,1.1,Float,G079
